Order ID,Order Date,Customer ID,Product ID,Quantity,Customer Name,Email,Country,Coffee Type,Roast Type,Size,Unit Price,Sales
QEV-37451-860,05-09-19,17670-51384-MA,R-M-1,2,,,,,,,,
QEV-37451-860,05-09-19,17670-51384-MA,E-M-0.5,5,,,,,,,,
FAA-43335-268,17-06-21,21125-22134-PX,A-L-1,1,,,,,,,,
KAC-83089-793,15-07-21,23806-46781-OU,E-M-1,2,,,,,,,,
KAC-83089-793,15-07-21,23806-46781-OU,R-L-2.5,2,,,,,,,,
CVP-18956-553,04-08-21,86561-91660-RB,L-D-1,3,,,,,,,,
IPP-31994-879,21-01-22,65223-29612-CB,E-D-0.5,3,,,,,,,,
SNZ-65340-705,20-05-22,21134-81676-FR,L-L-0.2,1,,,,,,,,
EZT-46571-659,02-01-19,03396-68805-ZC,R-M-0.5,3,,,,,,,,
NWQ-70061-912,05-09-19,61021-27840-ZN,R-M-0.5,1,,,,,,,,
BKK-47233-845,08-03-21,76239-90137-UQ,A-D-1,4,,,,,,,,
VQR-01002-970,28-10-20,49315-21985-BB,E-L-2.5,5,,,,,,,,
SZW-48378-399,02-07-22,34136-36674-OM,R-M-1,5,,,,,,,,
ITA-87418-783,22-05-20,39396-12890-PE,R-D-2.5,2,,,,,,,,
GNZ-46006-527,05-04-22,95875-73336-RG,L-D-0.2,3,,,,,,,,
FYQ-78248-319,07-06-22,25473-43727-BY,R-M-2.5,5,,,,,,,,
VAU-44387-624,20-03-19,99643-51048-IQ,A-M-0.2,6,,,,,,,,
RDW-33155-159,19-10-19,62173-15287-CU,A-L-1,6,,,,,,,,
TDZ-59011-211,13-06-19,57611-05522-ST,R-D-2.5,4,,,,,,,,
IDU-25793-399,04-12-20,76664-37050-DT,A-M-0.2,5,,,,,,,,
IDU-25793-399,04-12-20,76664-37050-DT,E-D-0.2,4,,,,,,,,
NUO-20013-488,04-12-20,03090-88267-BQ,A-D-0.2,6,,,,,,,,
UQU-65630-479,22-01-21,37651-47492-NC,R-M-2.5,4,,,,,,,,
FEO-11834-332,11-02-22,95399-57205-HI,A-D-0.2,4,,,,,,,,
TKY-71558-096,15-09-21,24010-66714-HW,A-M-1,1,,,,,,,,
OXY-65322-253,24-10-20,07591-92789-UA,E-M-0.2,3,,,,,,,,
EVP-43500-491,20-02-19,49231-44455-IC,A-M-0.5,4,,,,,,,,
WAG-26945-689,08-10-19,50124-88608-EO,A-M-0.2,5,,,,,,,,
CHE-78995-767,02-08-22,00888-74814-UZ,A-D-0.5,3,,,,,,,,
RYZ-14633-602,20-02-19,14158-30713-OB,A-D-1,4,,,,,,,,
WOQ-36015-429,25-09-21,51427-89175-QJ,L-M-0.2,5,,,,,,,,
WOQ-36015-429,25-09-21,51427-89175-QJ,A-D-0.5,6,,,,,,,,
WOQ-36015-429,25-09-21,51427-89175-QJ,L-M-0.5,6,,,,,,,,
SCT-60553-454,17-07-21,39123-12846-YJ,L-L-0.2,5,,,,,,,,
GFK-52063-244,29-06-20,44981-99666-XB,L-L-0.5,6,,,,,,,,
AMM-79521-378,01-06-21,24825-51803-CQ,A-D-0.5,6,,,,,,,,
QUQ-90580-772,06-02-21,77634-13918-GJ,L-M-0.2,2,,,,,,,,
LGD-24408-274,25-04-19,13694-25001-LX,L-L-0.5,3,,,,,,,,
HCT-95608-959,25-04-20,08523-01791-TI,R-M-2.5,5,,,,,,,,
OFX-99147-470,24-11-21,49860-68865-AB,R-M-1,6,,,,,,,,
LUO-37559-016,19-04-21,21240-83132-SP,L-M-1,3,,,,,,,,
XWC-20610-167,07-07-22,08350-81623-TF,E-D-0.2,2,,,,,,,,
GPU-79113-136,22-05-19,73284-01385-SJ,R-D-0.2,3,,,,,,,,
ULR-52653-960,04-10-21,04152-34436-IE,L-L-2.5,2,,,,,,,,
HPI-42308-142,11-04-20,06631-86965-XP,E-M-0.5,2,,,,,,,,
XHI-30227-581,31-01-22,54619-08558-ZU,L-D-2.5,6,,,,,,,,
DJH-05202-380,07-11-19,85589-17020-CX,E-M-2.5,2,,,,,,,,
VMW-26889-781,28-06-19,36078-91009-WU,A-L-0.2,2,,,,,,,,
DBU-81099-586,11-09-20,15770-27099-GX,A-D-2.5,4,,,,,,,,
PQA-54820-810,17-08-22,91460-04823-BX,A-L-1,3,,,,,,,,
XKB-41924-202,19-08-22,45089-52817-WN,L-D-0.5,2,,,,,,,,
DWZ-69106-473,15-05-19,76447-50326-IC,L-L-2.5,4,,,,,,,,
YHV-68700-050,11-09-19,26333-67911-OL,R-M-0.5,5,,,,,,,,
YHV-68700-050,11-09-19,26333-67911-OL,L-L-2.5,2,,,,,,,,
KRB-88066-642,16-03-21,22107-86640-SB,L-M-1,5,,,,,,,,
LQU-08404-173,03-12-20,09960-34242-LZ,L-L-1,3,,,,,,,,
CWK-60159-881,27-01-20,04671-85591-RT,E-D-0.2,3,,,,,,,,
EEG-74197-843,17-07-22,25729-68859-UA,E-L-1,4,,,,,,,,
UCZ-59708-525,04-03-22,05501-86351-NX,L-D-2.5,3,,,,,,,,
HUB-47311-849,07-12-21,04521-04300-OK,L-M-0.5,3,,,,,,,,
WYM-17686-694,25-02-21,58689-55264-VK,A-D-2.5,5,,,,,,,,
ZYQ-15797-695,25-02-19,79436-73011-MM,R-D-0.5,5,,,,,,,,
EEJ-16185-108,09-02-19,65552-60476-KY,L-L-0.2,5,,,,,,,,
RWR-77888-800,07-02-20,69904-02729-YS,A-M-0.5,1,,,,,,,,
LHN-75209-742,23-03-20,01433-04270-AX,R-M-0.5,6,,,,,,,,
TIR-71396-998,06-03-22,14204-14186-LA,R-D-2.5,4,,,,,,,,
RXF-37618-213,15-04-22,32948-34398-HC,R-L-0.5,1,,,,,,,,
ANM-16388-634,19-11-21,77343-52608-FF,L-L-0.2,2,,,,,,,,
WYL-29300-070,16-10-19,42770-36274-QA,R-M-0.2,1,,,,,,,,
JHW-74554-805,26-11-19,14103-58987-ZU,R-M-1,6,,,,,,,,
KYS-27063-603,30-06-19,69958-32065-SW,E-L-2.5,4,,,,,,,,
GAZ-58626-277,04-01-21,69533-84907-FA,L-L-0.2,2,,,,,,,,
RPJ-37787-335,27-10-20,76005-95461-CI,A-M-2.5,3,,,,,,,,
LEF-83057-763,15-06-21,15395-90855-VB,L-M-0.2,5,,,,,,,,
RPW-36123-215,19-07-21,80640-45811-LB,E-L-0.5,2,,,,,,,,
WLL-59044-117,23-07-21,28476-04082-GR,R-D-1,6,,,,,,,,
AWT-22827-563,25-01-20,12018-75670-EU,R-L-0.2,1,,,,,,,,
QLM-07145-668,09-05-19,86437-17399-FK,E-D-0.2,2,,,,,,,,
HVQ-64398-930,30-03-20,62979-53167-ML,A-M-0.5,6,,,,,,,,
WRT-40778-247,13-03-22,54810-81899-HL,R-L-1,4,,,,,,,,
SUB-13006-125,17-04-19,26103-41504-IB,A-L-0.5,5,,,,,,,,
CQM-49696-263,25-10-19,76534-45229-SG,L-L-2.5,3,,,,,,,,
KXN-85094-246,13-09-19,81744-27332-RR,L-M-2.5,3,,,,,,,,
XOQ-12405-419,12-04-20,91513-75657-PH,R-D-2.5,4,,,,,,,,
HYF-10254-369,14-11-19,30373-66619-CB,L-L-0.5,1,,,,,,,,
XXJ-47000-307,18-07-19,31582-23562-FM,A-L-2.5,3,,,,,,,,
XXJ-47000-307,18-07-19,31582-23562-FM,A-D-0.2,4,,,,,,,,
ZDK-82166-357,03-04-21,81431-12577-VD,A-M-1,3,,,,,,,,
IHN-19982-362,29-03-21,68894-91205-MP,R-L-1,3,,,,,,,,
VMT-10030-889,15-12-21,87602-55754-VN,A-L-1,6,,,,,,,,
NHL-11063-100,20-05-20,39181-35745-WH,A-L-1,4,,,,,,,,
ROV-87448-086,02-11-20,30381-64762-NG,A-M-2.5,4,,,,,,,,
DGY-35773-612,25-07-20,17503-27693-ZH,E-L-1,3,,,,,,,,
YWH-50638-556,14-03-19,89442-35633-HJ,E-L-0.5,4,,,,,,,,
ISL-11200-600,02-07-20,13654-85265-IL,A-D-0.2,6,,,,,,,,
LBZ-75997-047,17-12-19,40946-22090-FP,A-M-2.5,6,,,,,,,,
EUH-08089-954,06-12-20,29050-93691-TS,A-D-0.2,2,,,,,,,,
BLD-12227-251,04-03-21,64395-74865-WF,A-M-0.5,2,,,,,,,,
OPY-30711-853,17-07-21,81861-66046-SU,A-D-0.2,1,,,,,,,,
DBC-44122-300,04-11-20,13366-78506-KP,L-M-0.2,3,,,,,,,,
FJQ-60035-234,05-04-21,08847-29858-HN,A-L-0.2,2,,,,,,,,
HSF-66926-425,01-03-20,00539-42510-RY,L-D-2.5,5,,,,,,,,
LQG-41416-375,19-10-21,45190-08727-NV,L-D-1,3,,,,,,,,
VZO-97265-841,08-07-22,87049-37901-FU,R-M-0.2,4,,,,,,,,
MOR-12987-399,17-08-19,34015-31593-JC,L-M-1,6,,,,,,,,
UOA-23786-489,31-05-20,90305-50099-SV,A-M-0.5,6,,,,,,,,
AJL-52941-018,05-05-20,55871-61935-MF,E-D-1,2,,,,,,,,
XSZ-84273-421,14-04-19,15405-60469-TM,R-M-0.5,3,,,,,,,,
NUN-48214-216,29-07-20,06953-94794-FB,A-M-0.5,4,,,,,,,,
AKV-93064-769,12-12-19,22305-40299-CY,L-D-0.5,1,,,,,,,,
BRB-40903-533,15-06-22,09020-56774-GU,E-L-0.2,3,,,,,,,,
GPR-19973-483,26-06-19,92926-08470-YS,R-D-0.5,5,,,,,,,,
XIY-43041-882,12-10-21,07250-63194-JO,A-M-1,1,,,,,,,,
YGY-98425-969,01-04-19,63787-96257-TQ,L-M-1,1,,,,,,,,
MSB-08397-648,10-03-21,49530-25460-RW,R-L-0.2,4,,,,,,,,
WDR-06028-345,16-08-19,66508-21373-OQ,L-L-1,1,,,,,,,,
MXM-42948-061,11-08-20,20203-03950-FY,L-L-0.2,4,,,,,,,,
MGQ-98961-173,05-04-22,83895-90735-XH,L-L-0.5,4,,,,,,,,
RFH-64349-897,22-10-19,61954-61462-RJ,E-D-0.5,3,,,,,,,,
TKL-20738-660,02-10-21,47939-53158-LS,E-M-0.2,1,,,,,,,,
TKL-20738-660,02-10-21,47939-53158-LS,A-L-0.2,1,,,,,,,,
TKL-20738-660,02-10-21,47939-53158-LS,E-M-1,5,,,,,,,,
GOW-03198-575,13-03-21,61513-27752-FA,A-D-0.5,4,,,,,,,,
QJB-90477-635,12-06-22,89714-19856-WX,L-L-2.5,4,,,,,,,,
MWP-46239-785,27-04-19,87979-56781-YV,L-M-0.2,5,,,,,,,,
QDV-03406-248,23-05-19,74126-88836-KA,L-M-0.5,3,,,,,,,,
GPH-40635-105,14-07-20,37397-05992-VO,A-M-1,1,,,,,,,,
JOM-80930-071,10-11-21,54904-18397-UD,L-D-1,6,,,,,,,,
OIL-26493-755,31-08-21,19017-95853-EK,A-M-0.5,1,,,,,,,,
CYV-13426-645,06-07-19,88593-59934-VU,E-D-1,1,,,,,,,,
WRP-39846-614,04-03-22,47493-68564-YM,A-L-2.5,5,,,,,,,,
VDZ-76673-968,31-12-20,82246-82543-DW,E-D-0.5,2,,,,,,,,
VTV-03546-175,31-07-20,03384-62101-IY,A-L-2.5,5,,,,,,,,
GHR-72274-715,24-05-21,86881-41559-OR,L-D-1,1,,,,,,,,
ZGK-97262-313,16-07-22,02536-18494-AQ,E-M-2.5,3,,,,,,,,
ZFS-30776-804,05-02-21,58638-01029-CB,A-L-0.5,5,,,,,,,,
QUU-91729-492,29-07-21,90312-11148-LA,A-D-0.2,4,,,,,,,,
PVI-72795-960,17-03-22,68239-74809-TF,E-L-2.5,3,,,,,,,,
PPP-78935-365,11-02-21,91074-60023-IP,E-D-1,4,,,,,,,,
JUO-34131-517,13-02-19,07972-83748-JI,L-D-1,6,,,,,,,,
ZJE-89333-489,13-05-22,08694-57330-XR,L-D-2.5,1,,,,,,,,
LOO-35324-159,19-05-20,68412-11126-YJ,A-L-0.2,4,,,,,,,,
JBQ-93412-846,27-04-22,69037-66822-DW,E-L-2.5,4,,,,,,,,
EHX-66333-637,09-09-20,01297-94364-XH,L-M-0.5,2,,,,,,,,
WXG-25759-236,10-03-21,39919-06540-ZI,E-L-2.5,2,,,,,,,,
QNA-31113-984,07-04-19,60512-78550-WS,L-M-0.2,4,,,,,,,,
ZWI-52029-159,12-07-20,40172-12000-AU,L-M-1,3,,,,,,,,
ZWI-52029-159,12-07-20,40172-12000-AU,E-M-1,2,,,,,,,,
DFS-49954-707,21-12-21,39019-13649-CL,E-D-0.2,5,,,,,,,,
VYP-89830-878,04-10-20,12715-05198-QU,A-M-2.5,2,,,,,,,,
AMT-40418-362,08-08-20,04513-76520-QO,L-D-1,1,,,,,,,,
NFQ-23241-793,11-10-20,88446-59251-SQ,A-M-1,3,,,,,,,,
JQK-64922-985,10-11-21,23779-10274-KN,R-M-2.5,3,,,,,,,,
YET-17732-678,20-06-21,57235-92842-DK,R-D-0.2,1,,,,,,,,
NKW-24945-846,04-10-21,75977-30364-AY,A-D-2.5,5,,,,,,,,
VKA-82720-513,24-06-19,12299-30914-NG,A-M-2.5,6,,,,,,,,
THA-60599-417,26-10-19,59971-35626-YJ,A-M-2.5,3,,,,,,,,
MEK-39769-035,27-06-21,15380-76513-PS,R-D-2.5,3,,,,,,,,
JAF-18294-750,06-09-19,73564-98204-EY,R-D-2.5,6,,,,,,,,
TME-59627-221,30-04-21,72282-40594-RX,L-L-2.5,6,,,,,,,,
UDG-65353-824,07-01-20,17514-94165-RJ,E-M-0.5,4,,,,,,,,
ENQ-42923-176,11-01-21,56248-75861-JX,A-L-0.5,3,,,,,,,,
CBT-55781-720,15-11-21,97855-54761-IS,E-D-0.5,3,,,,,,,,
NEU-86533-016,03-06-19,96544-91644-IT,R-D-0.2,6,,,,,,,,
BYU-58154-603,17-12-20,51971-70393-QM,E-D-0.5,4,,,,,,,,
EHJ-05910-257,07-02-21,06812-11924-IK,R-D-1,6,,,,,,,,
EIL-44855-309,15-03-21,59741-90220-OW,R-D-0.5,5,,,,,,,,
HCA-87224-420,04-08-22,62682-27930-PD,E-M-0.5,5,,,,,,,,
ABO-29054-365,19-01-19,00256-19905-YG,A-M-0.5,6,,,,,,,,
TKN-58485-031,23-03-22,38890-22576-UI,R-D-1,2,,,,,,,,
RCK-04069-371,07-10-21,94573-61802-PH,E-L-2.5,2,,,,,,,,
IRJ-67095-738,20-03-19,86447-02699-UT,E-M-2.5,2,,,,,,,,
VEA-31961-977,15-12-21,51432-27169-KN,E-D-0.5,3,,,,,,,,
BAF-42286-205,08-06-22,43074-00987-PB,R-M-2.5,4,,,,,,,,
WOR-52762-511,14-12-19,04739-85772-QT,E-L-2.5,6,,,,,,,,
ZWK-03995-815,10-04-21,28279-78469-YW,E-M-2.5,2,,,,,,,,
CKF-43291-846,10-03-20,91829-99544-DS,E-L-2.5,1,,,,,,,,
RMW-74160-339,16-10-20,38978-59582-JP,R-L-2.5,4,,,,,,,,
FMT-94584-786,08-10-19,86504-96610-BH,A-L-1,2,,,,,,,,
NWT-78222-575,31-12-19,75986-98864-EZ,A-D-0.2,1,,,,,,,,
EOI-02511-919,20-03-20,66776-88682-RG,E-L-0.2,5,,,,,,,,
EOI-02511-919,20-03-20,66776-88682-RG,A-D-0.5,5,,,,,,,,
UCT-03935-589,29-03-21,85851-78384-DM,R-D-0.5,6,,,,,,,,
SBI-60013-494,12-11-21,55232-81621-BX,E-M-0.2,2,,,,,,,,
QRA-73277-814,20-07-21,80310-92912-JA,A-L-0.5,4,,,,,,,,
EQE-31648-909,18-01-19,19821-05175-WZ,E-D-0.5,5,,,,,,,,
QOO-24615-950,07-08-19,01338-83217-GV,R-M-2.5,3,,,,,,,,
WDV-73864-037,13-03-22,66044-25298-TA,L-M-0.5,5,,,,,,,,
PKR-88575-066,17-05-22,28728-47861-TZ,E-L-0.2,1,,,,,,,,
BWR-85735-955,14-12-19,32638-38620-AX,L-M-1,3,,,,,,,,
